image_number,image,text,egyptian
2618.0,2676649969_482caed129.jpg,امرأة مسنة تنظر إلى الكاميرا, ست عجوزة بتبص على الكاميرا
2619.0,2676651833_3bb42bbb32.jpg,طفلة صغيرة ترتدي قميصًا ورديًا تدور على لعبة الدوامه في المتنزه, بنت صغيرة لابسة قميص وردي بتدور على لعبة الدوامه في المتنزه
2620.0,2676764246_c58205a365.jpg,ثلاثة كلاب تتسابق في مضمار السباق, تلات كلاب بيجرّوا في مضمار السباق
2621.0,2676937700_456134c7b5.jpg,مجموعة من الناس يتجولون في الهواء الطلق  وهناك فتاة واحدة محمولة , مجموعة من الناس بيتمشوا في الهواء الطلق و فيه بنت واحدة محمولة
2622.0,2677614492_792023b928.jpg,كلب بني وأبيض يقفز فوق الحاجز الأصفر والأحمر, كلب بني و أبيض بيقفز فوق الحاجز الأصفر و الأحمر
2623.0,2677656448_6b7e7702af.jpg,كلب يسبح في بركة قرب شخص, كلب بيسبح في بركة جنب شخص
2624.0,267836606_bbea2267c8.jpg,كلب أسود ينبح, كلب أسود بينبح
2625.0,2678612999_893ed671f8.jpg,طفل صغير على وشك ركل كرة قدم بينما طفلان آخران يطاردانه, ولد صغير على وشك يركل كرة قدم و اتنين ولاد تانيين بيجرّوا وراه
2626.0,2678798732_2998f9969c.jpg,يمسك المصور كاميرته بجانب حاجز برتقالي بجانب الماء, مصور ماسك كاميرته جنب حاجز برتقالي جنب الميه
2627.0,2679565682_91ecd283ff.jpg,رجل ذو لحية ينظر إلى كاميرته, راجل ذو لحية بيبص على كاميرته
2628.0,2679851489_a58780291e.jpg,كلب أسود يركض نحو الكاميرا, كلب أسود بيجرّي ناحية الكاميرا
2629.0,2679926555_b11cf45595.jpg,فتاة صغيرة ترتدي تنورة بنفسجي ترقص في حديقة, بنت صغيرة لابسة تنورة بنفسجي بترقص في حديقة
2630.0,2680619645_ab6645218d.jpg,كلب يلعب على الشاطئ, كلب بيلعب على الشاطئ
2631.0,2680990587_eee6bd04fb.jpg,طفل يدفع آخر يجلس في أرجوحة بالقرب من الألعاب, ولد بيدفع ولد تاني قاعد في أرجوحة جنب الألعاب
2632.0,2681215810_00b0642f7b.jpg,رجل بلا قميص يمسك كرة القدم, راجل من غير قميص ماسك كرة القدم
2633.0,2682194299_92005b26c6.jpg,كلب أبيض وأسود يركض بعض الخطوات البيضاء, كلب أبيض و أسود بيجرّي على بعض الخطوات البيضاء
2634.0,2682382530_f9f8fd1e89.jpg,رجل يرتدي سروال قصير أسود يمد ساقه, راجل لابس بنطلون قصير أسود بيمد رجله
2635.0,268365231_a0acecdc45.jpg,يسير زوجان يرتديان ملابس سوداء باتجاه بوابة بيضاء, اتنين بيمشوا لابسين لبس أسود ناحية بوابة بيضاء
2636.0,2683963310_20dcd5e566.jpg,طفل في حفرة رملية يلعب بالدلو, ولد في حفرة رملية بيلعب بالدلو
2637.0,2683985894_167d267dcb.jpg,مهرج يرتدي قميص برتقالي يسلي حشد من الناس, مهرج لابس قميص برتقالي بيسلي حشد من الناس
2638.0,2684322797_85406f571d.jpg,شخص كبير يرتدي سروال  وقميص أبيض يجلس على طاولة, شخص كبير لابس بنطلون و قميص أبيض قاعد على ترابيزة
2639.0,2684323357_c7a6d05d05.jpg,فتاة مع صحيفة في مقهى, بنت مع جريدة في مقهى
2640.0,2684489465_32ba1d0344.jpg,كلب صغير يقفز فوق الحاجز, كلب صغير بيقفز فوق الحاجز
2641.0,2685139184_4ff45e0f76.jpg,امرأة ذات شعر رمادي بلا حذاء تجلس على بطانية تحت مظلة بنفسجية اللون على جانب أحد الشوارع, ست شعرها رمادي من غير جزمة قعدة على بطانية تحت مظلة بنفسجي على جانب أحد الشوارع
2642.0,2685752892_9d5cd7f274.jpg,رجل يرتدي قميصًا أزرقًا وقبعة يقف على عجلة واحدة على حافة نافورة, راجل لابس قميص أزرق و قبعة واقف على عجلة واحدة على حافة نافورة
2643.0,2685788323_ceab14534a.jpg,رجل يرتدي نظارة شمسية يقف بجانب طاولة في مقهى, راجل لابس نظارة شمسية واقف جنب ترابيزة في مقهى
2644.0,2686432878_0697dbc048.jpg,أنثى مع نظارات وقميص بني وحقيبة ظهر, أنثى مع نظارات و قميص بني و حقيبة ظهر
2645.0,268654674_d29e00b3d0.jpg,عائلة تعبر الجسر, عيلة بتعدي الجسر
2646.0,268704620_8a8cef4cb3.jpg,كلبان أبيضان يلعبان في الثلج, اتنين كلاب بيض بيلعبوا في الثلج
2647.0,2687229880_97cfd8148e.jpg,امرأة في قميص أسود تمشي وهي تحمل هاتفًا نقالًا فضيًا, ست في قميص أسود بتمشي و شايلة موبايل فضي
2648.0,2687328779_b4356dab16.jpg,يتم رش كلب بخرطوم بينما كان يقفز إلى البركة, كلب بيترش بخرطوم و هو بيقفز على البركة
2649.0,2687529141_edee32649e.jpg,عروض ترفيهية بهلوانية بدون قمصان تقدم للمتفرجين," عروض ترفيهية بهلوانية من غير قمصان بتقدم للمتفرجين
"
2650.0,2687539673_d54a8dc613.jpg,تقفز فتاة وصبي صغير على الترامبولين في ساحة الضواحي,بنت وولد صغير بيقفزوا على الترامبولين في حديقة الضواحي
2651.0,2687672606_275169c35d.jpg,امرأة ترتدي المجوهرات تحمل قطعة من الورق وتنظر إلى الأسفل,ست بتلبس مجوهرات شايله ورقة وبتبص لتحت
2652.0,2688102742_885e578a3f.jpg,فتاة ترتدي تنورة قصيرة تنظر إلى رفوف المجلات على الرصيف,بنت بتلبس تنورة قصيرة بتبص على رفوف المجلات في الشارع
2653.0,2688902319_52ceaf4a2a.jpg,راهب يرتدي شال أحمر ينظر إلى الكاميرا,راهب لابس شال أحمر بيبص على الكاميرا
2654.0,2689001252_e0016c89f0.jpg,الفتيات الصغيرات في ملابس السباحة يضحكون,بنات صغيرين في لبس البحر بيضحكوا
2655.0,2689163361_4939875be5.jpg,الفتاة في القميص الوردي تدور حولها شريط,البنت اللي لابسه قميص وردي لافف عليها شريط
2656.0,2689358407_9932f1b20c.jpg,صبي صغير يلعب في نافورة المياه,ولد صغير بيلعب في نافورة الميه
2657.0,2689491604_d8760f57b4.jpg,صبي صغير يرش في بركة للنفخ,ولد صغير بيرش في بركة نفخ
2658.0,2690538407_7ca157be85.jpg,طفل مع مصاصة يقول أنا أحبك بلغة الإشارة,طفل معاه مصاصة بيقول بحبك بلغة الإشارة
2659.0,2690702549_cf81da8cf6.jpg,أربعة أولاد يحتشدون أمام الكاميرا أمام جدار حجري,أربعة ولاد واقفين قدام الكاميرا قدام حيطه حجر
2660.0,2691966747_cfa154982b.jpg,كلب أبيض يخرج من نفق أزرق,كلب أبيض طالع من نفق أزرق
2661.0,2692635048_16c279ff9e.jpg,كلب أسود يستلقي بجانب كرة,كلب أسود نايم جنب كرة
2662.0,2693425189_47740c22ed.jpg,صبي يلعب بالعصي المائية الرغوية في المسبح,ولد بيلعب بالعصي المائية الرغوية في المسبح
2663.0,2693539377_5442430f81.jpg,صبي وفتاة يركبون لعبة السفينة الدوارة,ولد وبنت بيركبوا لعبة السفينة الدوارة
2664.0,269361490_a22ae818bf.jpg,مجموعة من الشباب يسيرون في الشارع في حي سكني,مجموعة شباب ماشيين في الشارع في حي سكني
2665.0,2694178830_116be6a6a9.jpg,رياضي يقوم بالقفز العالي,رياضي بيعمل قفزة عالية
2666.0,2694426634_118566f7ab.jpg,رجل وطفلين في قارب على الماء,راجل وطفلين في قارب على الميه
2667.0,2694890967_7c7a89de16.jpg,مجموعة من الناس يستلقون على العشب تحت مظلة,مجموعة ناس نايمين على العشب تحت مظلة
2668.0,2695001634_127fe2f0d7.jpg,اثنتين من الإناث يرتدين التنانير يمشين على الرصيف,اتنين ستات لابسين تنانير ماشيين في الشارع
2669.0,2695085448_a11833df95.jpg,امرأة ترتدي ثوبًا أسود تجلس أمام جدار حجري تتحدث على هاتف خلوي,ست لابسه فستان أسود قاعده قدام حيطه حجر بتتكلم في التليفون
2670.0,2695085632_10c4e6ea78.jpg,رجل يجلس في الخارج يكتب شيئًا ما على لوح من الورق,راجل قاعد بره بيكتب حاجة على لوح ورق
2671.0,2695085862_2ed62df354.jpg,رجل ذو أذن مثقوبة يرتدي قميصًا أسود,راجل ودانو مخروقه لابس قميص أسود
2672.0,2695093520_5cfeb0729d.jpg,فتاة ترتدي قميصًا أحمر تحمل يد رجل بالقرب من أحد الشوارع,بنت لابسه قميص أحمر ماسكه ايد راجل قريب من الشارع
2673.0,2695961935_a2a6338f26.jpg,كلب أبيض وأسود يقفز فوق حاجز,كلب أبيض وأسود بيقفز فوق حاجز
2674.0,2695962887_a1647c567b.jpg,كلب يكمل تمرين اللياقة البدنية,كلب بيكمل تمرين لياقة
2675.0,2696060728_3043cfc38c.jpg,رجل يساعد الفتاة على ركوب الأمواج ,راجل بيساعد البنت على ركوب الأمواج
2676.0,269630255_c3ec75c792.jpg,كلب بني يركض عبر العشب بعصا في فمه,كلب بني بيجري على العشب معاه عصاية في بقه
2677.0,2696394827_7342ced36f.jpg,طائر ينفض الماء بجانب كلب السباحة الذي يرتدي رَسَن أزرق,طائر بيهز الميه جنب كلب بيعوم لابس رباط أزرق
2678.0,269650644_059a84ece5.jpg,مجموعة من الناس تتزحلق على الجليد في مدينة كبيرة,مجموعة ناس بيزحلقوا على الجليد في مدينة كبيرة
2679.0,2696636252_91ef1491ea.jpg,رجل يتزلج على سكة حديد,راجل بيزحلق على سكة حديد
2680.0,2696866120_254a0345bc.jpg,كلب يستلقي على الأرض,كلب نايم على الأرض
2681.0,2696951725_e0ae54f6da.jpg,رجل وامرأة  على درب حديقة  يقفون متهيئين للتصوير أمام بحيرة وجبل البعيد,راجل وست على درب حديقة واقفين مستعدين للتصوير قدام بحيرة وجبل بعيد
2682.0,2697909987_128f11d1b7.jpg,يقف رجل في الجينز أمام مكتب الاستقبال,راجل واقف في جينز قدام مكتب الاستقبال
2683.0,2698119128_62b4741043.jpg,فتاة تتمتع بحوض السباحة,بنت مستمتعة بحوض السباحة
2684.0,2698197294_ccd9327ef6.jpg,كلب أبيض وأسود يركض من خلال المياه الضحلة,كلب أبيض وأسود بيجري في الميه الضحلة
2685.0,2698487246_e827404cac.jpg,رجل يرتدي قميصاً أسود وأبيض يقفز للحصول على كرة من لاعب في قميص أزرق وأصفر,راجل لابس قميص أبيض وأسود بيقفز عشان يمسك كرة من لاعب لابس قميص أزرق وأصفر
2686.0,2698614194_b4e6e11dff.jpg,خمسة رجال يلعبون كرة القدم,خمسة رجالة بيلعبوا كرة قدم
2687.0,2698666984_13e17236ae.jpg,امرأة في سترة حمراء تهرول في الشارع تحت أمطار غزيرة,ست في جاكيت أحمر بتجري في الشارع تحت المطر
2688.0,269898095_d00ac7d7a4.jpg,امرأة تجلس بالقرب من سرير زهري يطل على نفق,ست قاعده جنب سرير زهري بيبص على نفق
2689.0,2699125097_c6801d80ed.jpg,رجل عاري الصدر مع حلاقة شعر الموهوك واللحية والنظارات,راجل صدره عريان و شعره موهوك ولحيته و نظارته
2690.0,2699342860_5288e203ea.jpg,صبي يرتدي قميصًا أحمر اللون يركض عبر الغابات,ولد لابس قميص أحمر بيجري في الغابة
2691.0,2699426519_228719b1db.jpg,كلب أبيض و بني يركض و فمه مفتوح,كلب أبيض و بني بيجري و بقه مفتوح
2692.0,2699733386_c346c87ea6.jpg,كلب أسود يركض في الماء,كلب أسود بيجري في الميه
2693.0,269986132_91b71e8aaa.jpg,لعبة كرة قدم بين الفريق الأحمر والفريق الأزرق,لعبة كرة قدم بين الفريق الأحمر و الفريق الأزرق
2694.0,2700147489_f1664f2b61.jpg,رجل يتزلج على اللوح في ملعب لكرة السلة,راجل بيزحلق على اللوح في ملعب كرة سلة
2695.0,2701042060_92508ea8fa.jpg,كلب أبيض وبني وكلب أسود قرب الماء مع رجل على ظهر حصان في الخلفية,كلب أبيض و بني و كلب أسود جنب الميه و راجل على ظهر حصان في الخلفية
2696.0,2701271123_6761bc5f26.jpg,كلب أسود يمشي في التراب لديه كرة قدم في فمه,كلب أسود ماشي في التراب معاه كرة قدم في بقه
2697.0,2701487024_e866eb4550.jpg,صبي متحمس يلعب في الأمواج مع لوح التزلج على الماء,ولد متحمس بيلعب في الأمواج مع لوح التزلج على الميه
2698.0,2701603045_6cbdc4ce7c.jpg,صبي يخوض الماء,ولد بيدخل الميه
2699.0,2701895972_8605c4e038.jpg, الفرقة الموسيقية تعزف موسيقى تحت مظلة بيضاء,"فرقة موسيقية بتغني تحت مظلة بيضاء 
"
2700.0,2702506716_17a7fb3ba4.jpg,كلب بيغل يتسلق بعض السلالم الرمادية,كلب بيغل بيتسلق شويه سلم رمادي
2701.0,270263570_3160f360d3.jpg, كلبان باللونين البني والأبيض يلعبان في الغابة, كلبين بني وأبيض بيلعبوا في الغابة
2702.0,2703155733_19ac6f97a8.jpg,امرأة تقلع عباءة كبيرة تكشف عن ثوب باهظ,ست تقلع عباءة كبيرة بتبين فستان غالي
2703.0,2704257993_d485058a5f.jpg,يتزلج ثلاثة أطفال على حلبة تزلج,تلاتة ولاد بيتزلجوا على حلبة تزلج
2704.0,2704362232_7d84503433.jpg,رجل وكلب في بركة معا,راجل وكلب في بركة مع بعض
2705.0,2704379125_9c35650d16.jpg,كلب أسود يتبع مجموعة من الأغنام تمشي في حقل من العشب,كلب أسود بيجري وراه قطيع غنم ماشي في حقلة عشب
2706.0,2704934519_457dc38986.jpg,فتاة تنفض الماء من شعرها,بنت بتنفض الميه من شعرها
2707.0,2705793985_007cc703fb.jpg,كلب أبيض وأسود  ذو طوق أزرق يركض في حقل عشبي,كلب أبيض وأسود لابس طوق أزرق بيجري في حقلة عشب
2708.0,2705947033_5999147842.jpg,ثلاثة أولاد يلعبون ببنادق اللعب,تلاتة ولاد بيلعبوا ببنادق لعب
2709.0,2706023395_ac9eba0e42.jpg,عدة رجال يجلسون خارج مبنى,شوية رجالة قاعدين برة مبنى
2710.0,2706430695_3b5667741c.jpg,فتاة أكبر سناً وفتاة أصغر تلعبان حفاة في بركة,بنت كبيرة وبنت صغيرة بيلعبوا حفايا في بركة
2711.0,2706766641_a9df81969d.jpg,طفل وأرضية مغطاة بمسحوق أبيض,طفل وأرض مغطية ببودرة بيضاء
2712.0,2707244524_d57120d74a.jpg,كلب أشقر يركض من خلال العشب الطويل مع شجرة في الخلفية,كلب أشقر بيجري في العشب الطويل وشجرة وراه
2713.0,270724499_107481c88f.jpg,كلب مع كرة زرقاء يركض في حقل,كلب معاه كرة زرقا بيجري في حقلة
2714.0,2707835735_6537b27e8f.jpg,مجموعة من الرجال في معرض فني,شوية رجالة في معرض فن
2715.0,2707873672_15e6b5d54b.jpg,يقف صبيان ذو شعر أحمر ونظارات على طاولة ويتقاتلان,ولدين شعرهم أحمر ولابسين نظارات واقفين على ترابيزة وبيتخانقوا
2716.0,2707933554_f6dc5e0e3c.jpg,فراشة بنية تطير على يد بنت,فراشة بنية بتطير على ايد بنت
2717.0,2707969386_94dde00ce4.jpg,كلب رمادي صغير يقفز فوق سياج,كلب رمادي صغير بيقفز فوق سور
2718.0,270809922_043e3bef06.jpg,رجل وحيد يتسلق مرتفعًا على جبل ثلجي,راجل لوحده بيتسلق جبل ثلج عالي
2719.0,270816949_ffad112278.jpg,رجل على ظهر الخيل على حقل عشبي أمام الجبال,راجل راكب حصان في حقلة عشب قدام الجبال
2720.0,2708176152_1634cb754d.jpg,مجموعة من راكبي الدراجات الهوائية في سباق,شوية راكبين دراجات بيسابقوا بعض
2721.0,2708582445_5e5999b956.jpg,ينزلق طفل أسفل زحليقة خضراء,طفل بينزل زحليقة خضرا
2722.0,2708634088_a4686be24c.jpg,كلبان بنيان مع عصا في فمها,كلبين بني معاهم عصاية في بوقهم
2723.0,270864951_1737ae5479.jpg,امرأة شقراء ترتدي قبعة,ست شقرا لابسة قبعة
2724.0,2708686056_1b8f356264.jpg,فتاة في ملابس السباحة الزرقاء تمشي في المحيط,بنت لابسة مايوه أزرق ماشية في البحر
2725.0,2708744743_e231f7fcf9.jpg,يمسك كلب بالصحن الطائر في ملعب البيسبول خلال إحدى المباريات,كلب ماسك صحن طائر في ملعب بيسبول في ماتش
2726.0,2709275718_73fcf08c23.jpg, رجل يرتدي قميصًا أزرق يحمل كوبًا في يده بينما كان يحدق في الكاميرا,راجل لابس قميص أزرق ماسك كوب في ايده وبيبص في الكاميرا
2727.0,2709359730_13bca100af.jpg,مجموعة من الكلاب تتجول في الهواء الطلق,شوية كلاب ماشيين برة
2728.0,2709536455_2a6046e38a.jpg,هذه الكلاب يبدو أنها تعوي خارجاً في الثلج,الكلاب دي باين عليها بتعوي برة في الثلج
2729.0,2709648336_15455e60b2.jpg,كلب بني يصطاد الصحن الطائر في الجو,كلب بني بيطارد صحن طائر في الجو
2730.0,2709683703_5385ea9ef4.jpg,رجل يبخ الماء في فم الكلب الأبيض  ببندقية رش الماء ,راجل بيرش ميه في بوق كلب أبيض بمسدس ميه
2731.0,2710280476_dcccb8745a.jpg,كلب أبيض وأسود يقفز في الهواء بينما  شخصان في الخلفية يشاهدان,كلب أبيض وأسود بيقفز في الهوا واثنين وراه بيشوفوا
2732.0,2710416789_555180e399.jpg,صبي آسيوي يرتدي نظارات,ولد آسيوي لابس نظارة
2733.0,2710563762_06d48329d7.jpg,لاعبو كرة السلة يقفزون لالتقاط الكرة خلال المباراة,لاعيبة كرة سلة بيقفزوا عشان يمسكوا الكورة في الماتش
2734.0,2710698257_2e4ca8dd44.jpg,رجل يقف على قمة الصخور المطلة على المحيط,راجل واقف على قمة صخرة قدام البحر
2735.0,2711075591_f3ee53cfaa.jpg,ثلاثة أشخاص يغوصان تحت الماء,تلاتة أشخاص بيغوصوا تحت الميه
2736.0,2711720095_0b98426d3c.jpg,رجل يرتدي معطفاً أسوداً وقبعة حمراء يحمل كاميرا,راجل لابس معطف أسود وقبعة حمرا ماسك كاميرا
2737.0,271177682_48da79ab33.jpg,تُقلع سيارة من الطين والأوراق على أرضية الغابة,عربية بتطلع من طين وأوراق في أرض الغابة
2738.0,2712352554_1cafd32812.jpg,صبي يقوم بخدعة من لوح معدني,ولد بيعمل خدعة من لوح حديد
2739.0,2712787899_d85048eb6a.jpg,امرأة شقراء في الجينز الأسود تجلس على جدار لفحص أظافرها,ست شقرا لابسة جينز أسود قعدة على حيط بتفحص ضوافرها
2740.0,2712974062_6d5b6aa7f0.jpg,فتاة آسيوية ترتدي فستانًا غنيًا بالألوان تحمل كوبًا بلاستيكيًا,بنت آسيوية لابسة فستان ملون ماسكة كوب بلاستيك
2741.0,2713554148_64cd465e71.jpg,أربعة أطفال يرقصون حول عمود في شارع المدينة,أربعة ولاد بيرقصوا حوالين عمود في شارع المدينة
2742.0,2713897716_c8cd610360.jpg,كلب أبيض وأسود يلعب مع كرة ممزقة,كلب أبيض وأسود بيلعب بكورة ممزقة
2743.0,2714220101_c31db50b10.jpg,كلب أبيض صغير يركض في الرمال,كلب أبيض صغير بيجري في الرمال
2744.0,2714674623_8cd05ac114.jpg,رجل يرتدي قميصا أسود مكتوب عليه النزوات الوراثية ينام في حافلة,راجل لابس قميص أسود مكتوب عليه النزوات الوراثية نايم في أتوبيس
2745.0,2714699748_c9270dd5aa.jpg,اثنين من الكلاب يلعبون ويتصارعون مع بعضهم البعض,اتنين كلاب بيلعبوا وبيتحاربوا مع بعض
2746.0,2714703706_d21c5cb8df.jpg,لعب الكلاب,الكلاب بتلعب
2747.0,2714878018_1593c38d69.jpg,صبي يقفز فوق بعض الماء,ولد بيقفز فوق شويه ميه
2748.0,2715035273_8fc8b1291c.jpg,تسير مجموعة من النساء في الشارع ليلاً,شوية ستات ماشيين في الشارع بالليل
2749.0,2715155329_1ed1756000.jpg,رجل يرتدي نظارة شمسية عاكسة في حشد من الناس,"راجل لابس نظارة شمس عاكسة في زحمة ناس
"
2750.0,2715289538_d77c8d0a85.jpg,يحاول صبي نفخ فقاعة ضخمة باستخدام حلقة معدنية ضخمة,ولد بيحاول ينفخ بالونة كبيرة باستخدام حلقة حديد كبيرة
2751.0,2715337869_e4fe36db50.jpg,فتاة تقفز من طوف,بنت بتنط من على طوف
2752.0,2716251485_d6113f4c8a.jpg,رجل يحمل حقيبة يمر من خلال مقصورتين للهاتف,راجل شايل شنطة بيعدي من بين اتنين بوستة تليفون
2753.0,271637337_0700f307cf.jpg,كلب في مسابقة يقفز فوق حاجز,كلب في مسابقة بينط فوق حاجز
2754.0,2716457668_187a6d2b1c.jpg,صبي يرتدي نظارة شمسية ينظر إلى الأمام مباشرة,ولد لابس نظارة شمس بي بص لقدام
2755.0,271660510_dd4ba34b35.jpg,رجل وامرأة في قمصان بيضاء ونظارات داكنة يبتسمان,راجل و ست لبسين قمصان بيضاء و نظارات سودا و بيبتسموا
2756.0,2716903793_fb7a3d8ba6.jpg,اللاعبان يلعبان في الملعب,لاعبين بيلعبوا في الملعب
2757.0,2717686269_80c4b5ac9e.jpg,كلب أبيض وبني يرتاح على سجادة في ضوء الشمس,كلب أبيض و بني نايم على سجادة في الشمس
2758.0,271770120_880e8d8e52.jpg,اثنين من الكلاب السوداء يلعبون لعبة شد الحبل,اتنين كلاب سود بيلعبوا شد حبل
2759.0,2718024196_3ff660416a.jpg,يقفز صبي صغير إلى بركة الأطفال في الفناء الخلفي,ولد صغير بينط في بركة الأطفال في البلكونة
2760.0,2718027742_70a72f99ae.jpg,طفل في ثوب السباحة يلعب في الرشاش,طفل لابس مايوة بيلعب في الرشاش
2761.0,2718049631_e7aa74cb9b.jpg,كلب يركض صعودًا نحو الكاميرا بالقرب من منطقة مسيجة,كلب بيجرى ناحية الكاميرا في مكان مسور
2762.0,2718376488_3c62f7642c.jpg,الأبقار والناس يركضون في الشارع,بقار و ناس بيجرى في الشارع
2763.0,2718495608_d8533e3ac5.jpg,فتاة سمراء ترتدي نظارة شمسية وقميصاً أصفر,بنت سمرا لابسة نظارة شمس و قميص أصفر
2764.0,2719101587_4ba70dee14.jpg,رجل يفعل الحيل على دراجة نارية,راجل بيعمل حركات على موتور
2765.0,2719102611_fef453bf30.jpg,متسابق الدراجات النارية يقف على دراجته,راكب موتور واقف على الموتوسيكل بتاعه
2766.0,2720215226_5a98ff2bd3.jpg,يقف كلب أسود عليه شريط أمام بعض شرائط الجوائز الأخرى,كلب أسود لابس شريط واقف قدام شرايط جوائز تانية
2767.0,2720985888_8f5920e8cf.jpg,تضحك فتاة صغيرة أثناء اللعب في لعبة المنزل,بنت صغيرة بتضحك وهي بتلعب في لعبة البيت
2768.0,272156850_c4445a53f4.jpg,رجل يجلس على جرف صخري بأشجار في الخلفية,راجل قاعد على صخرة و وراها شجر
2769.0,2721656220_5f4cda8bc1.jpg,سيدة تحمل مشروبًا,ست شايلة مشروب
2770.0,272283076_2d4aa1d5cf.jpg,رجل يرتدي قميصًا أبيض يتسلق حائطًا بينما يراقب رجل آخر,راجل لابس قميص أبيض بيتسلق حيط و راجل تاني بيراقبه
2771.0,2723477522_d89f5ac62b.jpg,كلب كبير يطارد كلبًا صغيرًا على العشب,كلب كبير بيجري ورا كلب صغير على العشب
2772.0,2723929323_70b93a74ea.jpg,مجموعة من الفتيات على الشاطئ,مجموعة بنات على الشاطئ
2773.0,2724485630_7d2452df00.jpg,اثنين من النساء الأشقر الشعر ارتداء الملابس متشابهة ويحبون البيرة,اتنين ستات شعرهم أشقر لبسين لبس شبه بعض و بيحبوا البيرة
2774.0,272546805_536c719648.jpg,الكلب البني والكلب الأسود يلعبان لعبة شد الحبل ومعهما لعبة,كلب بني و كلب أسود بيلعبوا شد حبل و معاهم لعبة
2775.0,2726262796_03bd63a155.jpg,فتاة في ثوب السباحة تلعب على الأمواج,بنت لابسة مايوة بتلعب على الأمواج
2776.0,2726301121_95a2fbd22b.jpg,تقف امرأة شقراء مع وشم على ذراعها بالقرب من الجدار,ست شقرا عندهاوشم على دراعها واقفة جنب الحيط
2777.0,2727051596_be65bfb3d3.jpg,الطفلان في رحلة ترفيهية,اتنين أطفال في رحلة
2778.0,2728276857_3f83757ef2.jpg,مجموعة من النساء المبتسمات,مجموعة ستات بيبتسموا
2779.0,2728486640_cc2a31d2b0.jpg,كلب يصطاد بسكويتًا في فمه,كلب ماسك بسكويت في بقه
2780.0,2728813605_cfc943e1ab.jpg,امرأة ناضجة في النظارات الشمسية وسترة جينز,ست كبيرة في السن لابسة نظارة شمس و جاكيت جينز
2781.0,2729147877_c3ec3445bf.jpg,صبي معلق رأسا على عقب من شريط معدني,ولد معلق راسه من على شريط حديد
2782.0,272940778_a184dbea42.jpg,كلب أسود وبني يركضان في العشب,كلب أسود و بني بيجرى على العشب
2783.0,2729655904_1dd01922fb.jpg,يلعب صبيان وكلبان في الرمال والمياه على شاطئ البحر,اتنين ولاد و اتنين كلاب بيلعبوا في الرمال و المياه على شاطئ البحر
2784.0,2729685399_56c0e104b1.jpg,يتحدث ثلاثة أشخاص أمام المطار,تلاتة أشخاص بيتكلموا قدام المطار
2785.0,272988646_1588bde6a8.jpg,امرأة ذات حلاقة الموهوك الأزرق  تمسك يد طفل بينما تنتظر عبور الشارع,ست شعرها موهوك أزرق ماسكة ايد طفل و مستنية تعدي الشارع
2786.0,2730819220_b58af1119a.jpg,فتاة صغيرة تنتهي في الجزء السفلي من الزحليقة,بنت صغيرة خلصت من الزحليقة
2787.0,2730938963_c4ed3e2258.jpg,ثلاثة أولاد يقفون في بركة السباحة,تلاتة ولاد واقفين في بركة السباحة
2788.0,2730994020_64ac1d18be.jpg,كلب أبيض وأسود يركض في العشب,كلب أبيض و أسود بيجرى على العشب
2789.0,2731171552_4a808c7d5a.jpg, رجل يحمل صبي يشير بذراعه نحو السماء  بينما ينظر صبية آخرون في الهواء,راجل شايل ولد و بيدل بأيده ناحية السما و ولاد تانيين بي بصوا في الهوا
2790.0,273248777_eaf0288ab3.jpg,لاعبان لكرة القدم يلعبان كرة القدم أمام جمهور ضخم,اتنين لاعبين كورة بيلعبوا كورة قدام جمهور كتير
2791.0,2732625904_4fbb653434.jpg,فتاة في ثوب وردي تركب دراجتها على طول سياج أبيض,بنت لابسة فستان وردي راكبة عربية جنب سياج أبيض
2792.0,2733659177_d74a00995b.jpg,صبي يرتدي قميصا أصفر وسراويل زرقاء يتسلق شجرة في منطقة جبلية,ولد لابس قميص أصفر و بنطلون أزرق بيتسلق شجرة في منطقة جبلية
2793.0,2734219983_fe86a60bf9.jpg,امرأة وطفل مع مظلة يسيران في الشارع تحت المطر المنهمر,ست و طفل معاهم مظلة ماشيين في الشارع تحت المطر
2794.0,2734669176_c272b42597.jpg,فتاة شقراء الشعر تقوم بخدعة مع كلبها الذي هو في الهواء في محاولة للقبض على الصحن الطائر الطيران,بنت شعرها أشقر بتعمل مقلب في كلبها و هو في الهوا بيحاول يمسك الطبق الطائر
2795.0,2735158990_56ff6bf9b0.jpg,يقفز كلب في الغابة,كلب بينط في الغابة
2796.0,2735290454_1bd8bc5eac.jpg,كلب أسود لديه مخروط الآيس كريم في فمه,كلب أسود ماسك مخروط ايس كريم في بقه
2797.0,2735558076_0d7bbc18fc.jpg,مجموعة من الناس يجلسون على الرصيف وهم يرتدون أحذية داكنة وملابس دافئة,مجموعة ناس قاعدين على الرصيف لبسين أحذية غامقة و لبس دافي
2798.0,2735792721_b8fe85e803.jpg,طفل مع رشاش ماء,طفل معاه رشاش ميه
2799.0,2735979477_eef7c680f9.jpg,كلب أسمر  وكلب أبيض أكبر يركض على طول العشب,"كلب بني و كلب أبيض أكبر منه بيجرى على العشب 
"
2800.0,2736508369_fd9ff0b42f.jpg,ينزلق لاعب البيسبول باتجاه القاعدة,لاعب بيسبول بيسقط علي الارض وهو بيجري ناحية القاعدة
2801.0,2736902411_a0010f89ae.jpg,الفتيات يأخذن صورة لأنفسهن,البنات بياخدوا سيلفي
