image_number,image_number,image,text,egyptian,Moroccan
260,260,1298295313_db1f4c6522.jpg,صبي في سترة زرقاء يقفز في الماء,ولد في جاكيت ازرق بيقفز في الميه,وليد لابس جاكيت زرقا كا يطيح في الماء
261,261,1298866571_b4c496b71c.jpg,رجل آسيوي يعطي العين الشريرة للكاميرا,راجل اسيوي بيعمل عين شريرة للكاميرا,راجل آسيوي كا يدير العين الشريرة للكاميرا
262,262,1299459550_1fd5594fa2.jpg,صبي في ثياب السباحة,ولد في لبس سباحة,وليد لابس ثياب سباحة
263,263,1299459562_ed0e064aee.jpg,ثلاثة أولاد يلعبون في رذاذ الماء,تلاتة ولاد بيلعبوا في رذاذ الميه,ثلاثة ولاد كا يلعبوا في رذاذ الماء
264,264,1301140633_046e4e8010.jpg,صبي في قميص أزرق مع الأوساخ على وجهه,ولد في قميص ازرق مع تراب على وشه,وليد لابس قميص ازرق مع التراب على وجهه
265,265,130211457_be3f6b335d.jpg,رجل يضع ذراعيه حول امرأتين تمتثلان لصورة معه,راجل حاطط دراعه حوالين ستين بيتسماحوا في صورة معاه,راجل كا يضع ذراعه حول جوج نساء كا يلتقطوا صورة معاه
266,266,1302657647_46b36c0d66.jpg,رجل يتدلى من القضبان في الهواء الطلق,راجل متدلي من القضبان في الهواء الطلق,راجل كا يتدلى من الحديد في الهواء الطلق
267,267,1303335399_b3facd47ab.jpg,قام طفل صغير بالتزحلق على زحلوقة برتقالية,طفل صغير بيزلج على زحليقة برتقالية,وليد صغير كا يزحلق فوق زحلوقة برتقالية
268,268,1303548017_47de590273.jpg,فتاة تقف على مسار القطار بالقرب من محطة,بنت واقفة على مسار القطر قريب من محطة,بنت كا تقف فوق خط القطار قريب من المحطة
269,269,1303550623_cb43ac044a.jpg,فتاة تقف حافية على مسارات السكة الحديدية,بنت واقفة حافية على مسارات السكة الحديد,بنت كا تقف حافية فوق خطوط السكة الحديدية
270,270,1303727066_23d0f6ed43.jpg,رجل يلبس علامة سلام على قميصه يبتسم,راجل لابس علامة سلام على قميصه بيبتسم,راجل لابس علامة سلام على قميصه كا يبتسم
271,271,1303727828_d1052ee341.jpg,رجل يرتدي قبعة الريش,راجل لابس قبعة ريش,راجل لابس قبعة ريش
272,272,1304100320_c8990a1539.jpg,الكلبان يركضان في حقل من الزهور,الكلبين بيجرى في حقل من الزهور,جوج كلاب كا يركضوا في حقل ديال الزهور
273,273,1304961697_76b86b0c18.jpg,طفلين على ألواح التزلج يلوحان لبعضهما البعض,طفلين على ألواح التزلج بيشاوروا لبعض,جوج ولاد فوق ألواح التزلج كا يلوحوا لبعضهم
274,274,1305564994_00513f9a5b.jpg,قاد المتسابقان الدراجة البيضاء على الطريق,الراكبين بيجرى على دراجة بيضا في الطريق,جوج متسابقين كا يركبوا دراجة بيضاء فوق الطريق
275,275,1306145560_1e37081b91.jpg,كلب أسود يسبح في الماء,كلب اسود بيسبح في الميه,كلب اسود كا يسبح في الماء
276,276,1307635496_94442dc21a.jpg,طفل يمر عبر حقل,طفل بيعدي من حقل,وليد كا يمشي من خلال حقل
277,277,1308472581_9961782889.jpg,فتاة ضاحكة تحمل دلوًا في المحيط,بنت ضاحكة شايلة دلو في المحيط,بنت ضاحكة كا تحمل دلو في المحيط
278,278,1308617539_54e1a3dfbe.jpg,صبي يقفز إلى المحيط,ولد بيقفز في المحيط,وليد كا يطيح في المحيط
279,279,1309330801_aeeb23f1ee.jpg,يلعب الأطفال على الترامبولين,الولاد بيلعبوا على الترامبولين,ولاد كا يلعبوا فوق الترامبولين
280,280,1311132744_5ffd03f831.jpg,كلب أسود ورمزي يركض في الحقل,كلب اسود ورمادي بيجرى في الحقل,كلب اسود ورمادي كا يركض في الحقل
281,281,1311388430_4ab0cd1a1f.jpg,شخص معلق في الهواء من خطوط الكهرباء,شخص متعلق في الهوا من خطوط الكهربا,شخص معلق في الهواء من خطوط الكهرباء
282,282,1312020846_5abb4a9be2.jpg,اثنين من الجراء الصغيرة تطارد بعضها البعض على جدار حجري,اتنين من الجراء الصغيرة بيطاردوا بعض على حيط حجر,جوج جراء صغيرة كا يطاردوا بعضهم فوق جدار حجري
283,283,1312227131_771b5ed201.jpg,الكلاب تعمل في الصباح المشمس,الكلاب بتجرى في الصبح المشمس,كلاب كا تعمل في الصباح المشمس
284,284,1312954382_cf6d70d63a.jpg,فتاة ترتدي فستان أخضر وبرتقالي تمشي في الشارع حاملة بالون,بنت لبسة فستان اخضر وبرتقالي ماشية في الشارع شايلة بالون,بنت لابسة فستان اخضر وبرتقالي كا تمشي في الشارع حاملة بالون
285,285,1313693129_71d0b21c63.jpg,صبي وفتاة يقفون على ضفة النهر,ولد وبنت واقفين على ضفة النهر,وليد وبنت كا يقفوا على ضفة النهر
286,286,1313961775_824b87d155.jpg,طفلة عائمة ترتدي سترة نجاة,بنت صغيرة طافية لبسة سترة نجاة,بنت صغيرة كا تطفو لابسة سترة نجاة
287,287,1316247213_1d2c726dd5.jpg,لقطة مقرّبة لفتاة صغيرة تضحك,لقطة قريبة لبنت صغيرة بتضحك,لقطة مقربة لبنت صغيرة كا تضحك
288,288,131632409_4de0d4e710.jpg,فتاة في البيكيني تمشي على طول الشاطئ مع غيوم ضخمة وشاطئ رملي خلفها,بنت في بكيني ماشية على طول الشاطئ مع غيوم ضخمة وشاطئ رملي وراها,بنت في البيكيني كا تمشي على طول الشاطئ مع غيوم ضخمة وشاطئ رملي وراها
289,289,1317292658_ba29330a0b.jpg,صبي يتمتع  بالمطر,ولد بيستمتع بالمطر,وليد كا يستمتع بالمطر
290,290,1319634306_816f21677f.jpg,كلب بني يجلس في بعض العشب الطويل,كلب بني قاعد في شويه عشب طويل,كلب بني كا يجلس في بعض العشب الطويل
291,291,1321723162_9d4c78b8af.jpg,طفلة صغيرة تمسك بيد مدرب التزلج على الجليد,بنت صغيرة ماسكة ايد مدرب التزلج على الجليد,بنت صغيرة كا تمسك بيد مدرب التزلج على الجليد
292,292,1321949151_77b77b4617.jpg,يستلقي صبي صغير وفتاة صغيرة على مقعد أسود يحيط به الكبار,ولد صغير وبنت صغيرة نايمين على كرسي اسود محيطين بالكبار,وليد صغير وبنت صغيرة كا يناموا فوق كرسي اسود محاط بالكبار
293,293,1322323208_c7ecb742c6.jpg,صبي وفتاة يلعبون على الشاطئ,ولد وبنت بيلعبوا على الشاطئ,وليد وبنت كا يلعبوا على الشاطئ
294,294,1324816249_86600a6759.jpg,كلب بني يقف في حقل خصب مع الغيوم والجبال المذهلة خلفه,كلب بني واقف في حقل خصيب مع غيوم وجبال مذهلة وراه,كلب بني كا يقف في حقل خصيب مع الغيوم والجبال المذهلة وراه
295,295,132489044_3be606baf7.jpg,رجل ينام مع حقيبة في حضنه على وسيلة النقل العام,راجل نايم مع شنطة في حضنه على وسيلة مواصلات عامة,راجل كا ينام مع حقيبة في حضنه فوق وسيلة نقل عامة
296,296,1329832826_432538d331.jpg,يقف الناس على زاوية شارع عند الغسق  مع صيدلية في الخلفية,ناس واقفين على زاوية شارع عند الغسق مع صيدلية في الخلفية,ناس كا يقفوا على زاوية شارع عند الغسق مع صيدلية في الخلفية
297,297,1330645772_24f831ff8f.jpg,كلب أبيض وأسود يركض في العشب,كلب ابيض واسود بيجرى في العشب,كلب ابيض واسود كا يركض في العشب
298,298,133189853_811de6ab2a.jpg,رجل أصلع يقبل رجل آخر على الخد,راجل اقرع بيبوس راجل تاني على الخد,راجل اقرع كا يبوس راجل اخر على الخد
299,299,1332208215_fa824f6659.jpg,يجلس الناس داخل القطار,"ناس قاعدين جوه القطر 
"," ناس كا يجلسوا داخل القطار
"
300,300,1332492622_8c66992b62.jpg,مجموعة من الناس يقفون على شرفة بالقرب من مبنى السيرك الملون, مجموعة من الناس واقفين على البلكونة جنب مبنى السيرك الملون,واحد جماعة ديال الناس واقفين على شرفة قريب من دار السيرك لي ملونة
301,301,1332722096_1e3de8ae70.jpg,ثلاث نساء يقفن في شارع المدينة, تلات ستات واقفين في شارع المدينة,تلات نساء واقفين فشارع المدينة
302,302,1332815795_8eea44375e.jpg,طفل يتأرجح في أرجوحة بالقرب من سياج خشبي, ولد بيتهز في المرجيحة جنب سياج خشبي,واحد ولد صغيور كيتأرجح فالأرجوحة قريب من سياج ديال الخشب
303,303,1332823164_c70a5d930e.jpg,فتاة تقف في المحيط, بنت واقفة في البحر,واحدة بنت واقفة فالبحر
304,304,1333888922_26f15c18c3.jpg,طفل يتأرجح والشمس مشرقة, ولد بيتهز والشمس بتنور,واحد ولد كيتأرجح والشمس كتسنا
305,305,1334892555_1beff092c3.jpg,تلعب الفتيات بسيوف الرغاوي, البنات بيلعبوا بسياف الرغوة,البنات كيتسناو بسهوف ديال الرغوة
306,306,1335617803_4fbc03dab0.jpg,صبيان يرتديان قمصانا زرقاء يقومان بعمل مضحك, ولاد لابسين قمصان زرقا بيعملوا حاجة مضحكة,ولاد لبسين قمصان زرقاء كيديرو واحد الحركة مضحكة
307,307,1337792872_d01a390b33.jpg,فتاة تسير على الطريق تحمل دب, بنت ماشية في الطريق شايلة دب,واحدة بنت كتمشي فطريق حاملة دب
308,308,1338523142_57fce8229b.jpg,يسافر الرحال أسفل جبل صخري, المسافرين بينزلوا من على الجبل الصخري,واحد رحالة كيسافر تحت جبل ديال الحجر
309,309,133905560_9d012b47f3.jpg,جرو يلعب مع كلب بالغ في الثلج, جرو بيلعب مع كلب كبير في الثلج,واحد جرو كيلعب مع كلب كبير فالثلج
310,310,1339596997_8ac29c1841.jpg,ثلاث نساء مسلمات ينظرن إلى كاميرا, تلات ستات مسلمين بيبصوا على الكاميرا,تلات نساء مسلمات كيشوفو فالكاميرا
311,311,1341787777_4f1ebb1793.jpg,الكلب البني ينحني لأسفل في محاولة للشرب من نفاثة الماء, الكلب البني بينحني لتحت عشان يشرب من نافورة الماية,الكلب بني كينحني لتحت باش يشرب من نفاثة الماء
312,312,1342766791_1e72f92455.jpg,صبي يدفع صبيًا آخر إلى أعلى, ولد بيدفع ولد تاني لفوق,واحد ولد كيدفع ولد أخر لفوق
313,313,1342780478_bacc32344d.jpg,يقف رجل يرتدي قميصا وربطة عنق أمام لافتة, راجل لابس قميص وكرافتة واقف قدام لافته,واحد راجل لابس قميص وربطة عنق واقف قدام لافتة
314,314,1343426964_cde3fb54e8.jpg,طفل يضع نظارات قرب الماء في الخارج, ولد حاطط نظارة جنب الماية بره,واحد ولد كحط النظارات قريب من الماء فالخارج
315,315,1346051107_9cdc14e070.jpg,رجل يلعب ساكسفون بجانب صنبور النار, راجل بيلعب ساكسفون جنب حنفية الماية,واحد راجل كيلعب ساكسفون بجوار صنبور النار
316,316,1346529555_e916816cfe.jpg,كلب في الجو يلتقط الكرة الحمراء, كلب في الجو بيلقط الكورة الحمرا,واحد كلب فالسماء كيتسنا الكرة الحمراء
317,317,134724228_30408cd77f.jpg,تسير فتاتان على طريق ترابي في حديقة, بنتين ماشيين في طريق ترابي في الحديقة,جوج بنات كيتمشاو فطريق ترابي فحديقة
318,318,1347519824_e402241e4f.jpg,بعض الشباب يلتقطون الصور لبعضهم البعض أثناء وجودهم في نيويورك, شباب بيلتقطوا صور لبعض في نيويورك,واحد جماعة ديال الشباب كيتصورو بعضياتهم فنيويورك
319,319,1348113612_5bfc5f429e.jpg,كلب أبيض وأسود يقفز في بركة وراء كرات التنس, كلب أبيض واسود بيقفز في بركة ورا كرات التنس,واحد كلب أبيض وأسود كيتقافز فبحر ورا كرات التنس
320,320,1348304997_afe60a61df.jpg,فتاة تقفز على الترامبولين, بنت بتقفز على الترامبولين,واحدة بنت كيتقافز على الترامبولين
321,321,1348891916_ebd4413033.jpg,كلب رطب يلعب في الماء, كلب مبلول بيلعب في الماية,واحد كلب مبلول كيلعب فالماء
322,322,134894450_dadea45d65.jpg,رجل يقفز في الهواء في منطقة حرجية, راجل بيقفز في الهوا في منطقة غابة,واحد راجل كيتقافز فالهواء فغابة
323,323,1348947380_14f0fc1237.jpg,رجل وكلب يقفان على تل يطل على الماء, راجل وكلب واقفين على تل شايفين الماية,واحد راجل وكلب واقفين على تل كيشوفو للماء
324,324,1348957576_c4a78eb974.jpg,رجل وامرأة يجلسان على الأرض محاطان بالقوارب, راجل وست قاعدين على الأرض محاوطين بالقوارب,واحد راجل وواحدة مرا كاقعدين على الأرض محاطين بالقوارب
325,325,1350811702_2ce7cfd0c5.jpg,صبي صغير يلقي خط الصيد الخاص به قبالة رصيف الميناء, ولد صغير بيرمي خيط الصيد بتاعه من على الرصيف,واحد ولد صغير كيرمي خط الصيد ديالو من رصيف الميناء
326,326,1350948838_fdebe4ff65.jpg,كلب أبيض وأسود يقفز في بركة, كلب أبيض واسود بيقفز في بركة,واحد كلب أبيض وأسود كيتقافز فبحر
327,327,1351315701_6580b51c41.jpg,كلب أسود وكلب أبيض يركضان على العشب, كلب اسود وكلب أبيض بيجريوا في العشب,واحد كلب أسود وكلب أبيض كيجريو فالحديقة
328,328,1351764581_4d4fb1b40f.jpg,رجل إطفاء يطفئ النار تحت غطاء محرك السيارة, رجل اطفاء بيطفي النار تحت غطاء محرك العربية,واحد رجل إطفاء كيطفي النار تحت غطاء محرك السيارة
329,329,135235570_5698072cd4.jpg,رجل في حقل يحمل أعلام أمريكية, راجل في الحقل شايل علم امريكا,واحد راجل فحقل كيحمل أعلام أمريكية
330,330,1352398363_9cc8ffcce9.jpg,طفل قذر يلعب في المنزل, ولد وسخ بيلعب في البيت,واحد ولد وسخ كيلعب فالدار
331,331,1352410176_af6b139734.jpg,فتاة شقراء تخطو على سطوح رأسية في الرمال, بنت شقرا بتطلع على اسطح رأسية في الرمال,واحدة بنت شقراء كتمشي على سطوح رأسية فالرمال
332,332,1354318519_2f9baed754.jpg,طفل يضحك, ولد بيضحك,واحد ولد كيدوي
333,333,1355450069_c0675b0706.jpg,رجل يصعد جدارًا, راجل بيطلع حيط,واحد راجل كيسالي جدار
334,334,1355703632_5683a4b6fb.jpg,فتاة تتأهب لرمي الكرة اللينة, بنت بتستعد ترمي الكورة الطرية,واحدة بنت كتحضر باش ترمي الكرة اللينة
335,335,1355833561_9c43073eda.jpg,يتم رمي الطفل في الهواء, ولد بيترمي في الهوا,كيترمي ولد فالجو
336,336,1355935187_2c99648138.jpg,كلب أبيض يركض خارجا من خيمة, كلب أبيض بيجري بره الخيمة,واحد كلب أبيض كيجري برا من خيمة
337,337,1355945307_f9e01a9a05.jpg,رجل يقود سيارة سباق حمراء قديمة الطراز, راجل بيسوق عربية سباق حمرا قديمة,واحد راجل كيسوق سيارة سباق حمراء قديمة
338,338,1356543628_c13ebe38fb.jpg,فتاة في غابة تحمل معدات التخييم, بنت في الغابة شايلة حاجات التخييم,واحدة بنت فغابة كتحمل معدات التخييم
339,339,1356796100_b265479721.jpg,فتاة تنظر من خلال الأوراق على شجرة, بنت بتبص من ورا الاوراق على الشجرة,واحدة بنت كتشوف من خلال الأوراق على شجرة
340,340,1357689954_72588dfdc4.jpg,يحاول صبي تسلق الصخور الصناعية, ولد بيحاول يطلع الصخور الصناعية,واحد ولد كيحاول يسالي الصخور الصناعية
341,341,1357724865_4faf4e1418.jpg,رجل يقف في الماء بالقرب من شلال, راجل واقف في الماية جنب شلال,واحد راجل واقف فالماء قريب من شلال
342,342,1357753846_6185e26040.jpg,كلب كبير أسود يعبر عبر المياه بالقرب من الشاطئ, كلب كبير اسود بيعدي من على الماية جنب الشاطئ,واحد كلب كبير أسود كيعبر عبر المياه قريب من الشاطئ
343,343,1358089136_976e3d2e30.jpg,صبي يتزلج أسفل تلة, ولد بيتزلج من على التل,واحد ولد كيتزلج أسفل تلة
344,344,1358892595_7a37c45788.jpg,كلب يمر عبر الغابة مع شيء في فمه, كلب بيعدي من الغابة و شايل حاجة في بوقه,واحد كلب كيمشي عبر الغابة مع شي حاجة ففمه
345,345,1359101233_16c2c150e3.jpg,كلب في سترة حمراء يركض على العشب, كلب لابس سترة حمرا بيجري في العشب,واحد كلب لابس سترة حمراء كيجري فالحديقة
346,346,1361420539_e9599c60ae.jpg,كلب أسود يركض في العشب, كلب اسود بيجري في العشب,واحد كلب أسود كيجري فالحديقة
347,347,1362128028_8422d53dc4.jpg,يلعب الأطفال في حوض أزرق مملوء بالماء في الخارج, ولاد بيلعبوا في حوض ازرق مليان مايه بره,ولاد كيلعبو فحوض أزرق مليان بالماء فالخارج
348,348,1363843090_9425d93064.jpg,كلب أسود يسترد قطعة قماش من مجرى مائي, كلب اسود بيجيب قطعة قماش من مجرى الماية,واحد كلب أسود كيجيب قطعة قماش من مجرى مائي
349,349,1363924449_487f0733df.jpg,صبي يضع يديه على رأسه," ولد حاطط ايده على راسه 
"," واحد ولد كيحط يديه على راسه 
"
350,350,136552115_6dc3e7231c.jpg,رجل يلبس خوذة يقفز عن صخرة على دراجة جبلية,راجل لابس خوذة بيقفز من على صخرة على دراجة جبلية,واحد غادي يطير فوق صخرة بدراجة
351,351,136639119_6040b00946.jpg,رجل يتسلق جرفًا ويصل إلى حد,راجل بيتسلق جرف وبيوصل لحد,واحد غادي يطيح ف الصخر و هو غادي يطيح
352,352,136644343_0e2b423829.jpg,صبي يركب أرجوحة الإطارات,ولاد صغير بيلعب على أرجوحة الإطارات,واحد صغير غادي يركب فالعجلة
353,353,136644885_f7d2bbf546.jpg,مجموعة من الناس يسيرون عبر جسر ,مجموعة من الناس ماشيين على جسر,مجموعة ديال الناس غادي يمشيو فوق الجسر
354,354,1368338041_6b4077ca98.jpg,ثلاثة كلاب على رصيف,تلات كلاب على الرصيف,ثلاثة ديال الكلاب غادي يمشيو فوق رصيف
355,355,1368383637_614646cc4a.jpg,يقف الناس داخل هيكل نوافذ,ناس واقفين جوه مبنى فيه شباك,الناس واقفين فواحد البلاصة لي فيها شباك
356,356,136886677_6026c622eb.jpg,رجل كبير يجلس في مؤخرة زورق مع رجل آخر في النهر,راجل كبير قاعد في ضهر مركب مع راجل تاني في النهر,واحد كبير غادي يجلس فآخر زورق مع واحد آخر فالنهر
357,357,1370615506_2b96105ca3.jpg,محل النبيذ,محل بتاع خمرة,محل ديال الخمرة
358,358,1370773415_967b1ffde1.jpg,رجل وامرأة يقفان خارج المطعم,راجل و ست واقفين بره المطعم,واحد وواحدة واقفين برا المطعم
359,359,1377668044_36398401dd.jpg,كلب يقفز في الهواء لاستعادة عصا من رجل,كلب بيقفز في الهوا عشان يمسك عصاية من راجل,كلب غادي يطير فالهوا باش ياخد العصا من واحد
360,360,1378557186_4bd1da6834.jpg,رجل ومدفع وكلب,راجل و مدفع و كلب,واحد ومدفع و كلب
361,361,1379026456_153fd8b51b.jpg,رجل يجلس على طاولة أمام جهاز كمبيوتر يرتدي سماعات الرأس,راجل قاعد على ترابيزة قدام الكمبيوتر لابس سماعات,واحد غادي يجلس على طاولة قدام الكمبيوتر و هو لابس سماعات
362,362,1383698008_8ac53ed7ec.jpg,رجل يتسلق على هيكل على تلة ثلجية,راجل بيتسلق على هيكل على تل بتاع تلات,واحد غادي يطيح فوق واحد الهيكل فواحد الجبل لي فيه الثلج
363,363,1383840121_c092110917.jpg,كلب بني يرقد على غلاف أزرق,كلب بني نايم على غطاء ازرق,كلب بني غادي ينام فوق واحد الغطاء الأزرق
364,364,1384292980_4022a7520c.jpg,الفتيات يسرن في الشارع,بنات ماشيين في الشارع,البنات غادي يمشيو فالشوارع
365,365,1386251841_5f384a0fea.jpg,امرأة تنظر إلى الملابس على العارضات,ست بتبص على هدوم على العارضات,واحدة غادي تشوف فلبسة على العارضات
366,366,1386964743_9e80d96b05.jpg,صبي يلعب بكاميرا بينما يقف على مسار ترابي,ولاد صغير بيلعب بكاميرا وهو واقف على طريق ترابي,واحد صغير غادي يلعب بالكاميرا و هو واقف فواحد بلاصة ديال التراب
367,367,138705546_be7a6845dd.jpg,فتاتان تطلان على بحيرة باتجاه رجل يصطادان,بنتين بيبصوا على بحيرة ناحية راجل بيسطاد,جوج بنات غادي يشوفو فالبحر و هو غادي يشوف فواحد غادي يصطاد
368,368,138718600_f430ebca17.jpg,فتاتان تجلسان على أحد الأنهار مع دراجتهما بجانبهما,بنتين قاعدين على نهر و دراجاتهم جنبهم,جوج بنات غادي يجلسو على واحد النهر مع دراجة ديالهم جنبهم
369,369,1387443857_602ab6f9bf.jpg,رجل مسن يجلس على مقعد حجري,راجل كبير قاعد على كرسي حجري,واحد كبير غادي يجلس على واحد الكرسي ديال الحجر
370,370,1387461595_2fe6925f73.jpg,يقف الرجال بجانب واجهة صخرية,رجالة واقفين جنب واجهة صخرية,الرجال غادي يوقفو جنب واحد الحيط ديال الحجر
371,371,1387785218_cee67735f5.jpg,طفل يدفع دمية في عربة أطفال,طفل بيدفع دمية في عربية اطفال,واحد صغير غادي يدفع دمية فواحد العربة
372,372,1388346434_524d0b6dfa.jpg,رجل ذو شعر رمادي وقميص منقوش يطل عن شرفة,راجل شعره رمادي و لابس قميص منقوش بيبص من على البلكونة,واحد لي عنده شعره أبيض و لابس قميص لي فيه نقط غادي يشوف من الشرفة
373,373,1388373425_3c72b56639.jpg,امرأة في قميص أسود تجلس بجانب حقيبة خضراء,ست لابسة قميص اسود قعدة جنب شنطة خضرا,واحدة لابسة قميص أسود غادي تجلس جنب واحد الحقيبة خضراء
374,374,1388970365_162edcceb4.jpg,كلب أسمر واثنين من الكلاب السوداء في حقل عشبي ضخم,كلب بني و اتنين كلاب سود في حقل عشبي كبير,كلب بني و جوج ديال الكلاب السوداء فواحد الحقل ديال العشب كبير
375,375,1389264266_8170bc1c54.jpg,فتاة ذات شعر وردي متعرج  تنظر إلى الخلف بينما الفتاة التي تمشي بجانبها تنظر إليها,بنت شعرها وردي متموج بتبص وراها و البنت اللي ماشية جنبها بتبص عليها,واحدة عندها شعر وردي و متعرج غادي تشوف لورا و هي غادي تمشي مع واحد غادي يشوف فيها
376,376,1389323170_d1c81d6b51.jpg,امرأة وحيدة تجلس على مقعد أخضر معتاد مع فنجان في يدها,ست لوحدها قعدة على كرسي اخضر عادي و في كوباية في ايدها,واحدة وحدها غادي تجلس على واحد الكرسي أخضر عادي مع كوب فإيدها
377,377,1389651420_8d95d8f6ed.jpg,صبي صغير يبتسم ابتسامة عريضة في الخلفية,ولاد صغير بيضحك ضحكة كبيرة في الخلفية,واحد صغير غادي يضحك فواحد البلاصة
378,378,1390268323_2c8204e91c.jpg,طفلين يرتديان ثياب السباحة يركبان عبر سيارة,اتنين اطفال لابسين هدوم سباحة بيمشوا في عربية,جوج صغار غادي يلبسو ثياب ديال البحر و غادي يركبو فواحد السيارة
379,379,1392272228_cf104086e6.jpg,كلب أسود يحمل جسمًا خارج الماء,كلب اسود شايل حاجة بره الماية,كلب أسود غادي يحمل واحد الجسم برا الماء
380,380,1394368714_3bc7c19969.jpg,كلب ينتظر بينما يفتش صاحبه على شيء,كلب مستني و صاحبه بيدور على حاجة,كلب غادي ينتظر و هو غادي يشوف صاحبه غادي يبحث على شي حاجة
381,381,1394396709_65040d97ab.jpg,كلب بني يحمل جسمًا أسود,كلب بني شايل حاجة سودا,كلب بني غادي يحمل واحد الجسم أسود
382,382,1394599090_fe0ba238f0.jpg,يلعب أب وطفل في البركة,اب و ولاد بيلعبوا في البركة,واحد و واحد صغير غادي يلعبوا فواحد البركة
383,383,1394620454_bf708cc501.jpg,رجل يقف في منطقة صخرية,راجل واقف في منطقة صخرية,واحد غادي يوقف فواحد البلاصة لي فيها صخور
384,384,1394927474_0afdd82fc4.jpg,يقف صبي يحمل بالون أخضر خارج مبنى كبير,ولاد صغير شايل بالونة خضرا واقف بره مبنى كبير,واحد صغير غادي يحمل بالون أخضر و هو غادي يوقف برا واحد البناية كبيرة
385,385,1396064003_3fd949c9dd.jpg,رجل رأسا على عقب في الهواء فوق الماء,راجل راسه لتحت في الهوا فوق الماية,واحد غادي يطيح فالهوا فوق الماء
386,386,1396703063_e8c3687afe.jpg,رجل يرتدي قميصًا أزرقًا وقبعة رعاة البقر,راجل لابس قميص ازرق و قبعة راعي بقر,واحد غادي يلبس قميص أزرق و قبعة ديال الفلاح
387,387,1397295388_8a5b6b525d.jpg,الناس ينتظرون أمتعتهم,ناس مستنيين شنطهم,الناس غادي ينتظرو الأمتعة ديالهم
388,388,1397887419_e798697b93.jpg,كلب أسمر يطارد أشقر في العشب,كلب بني بيجري ورا اشقر في العشب,كلب بني غادي يطارد واحد أشقر فالعشب
389,389,1397923690_d3bf1f799e.jpg,رجل يتزلج بعناية أسفل تلة مغطاة بالثلج يرتدي حقيبة ظهر,راجل بيتزلج بهدوء تحت تل مغطى بالتلات لابس شنطة ظهر,واحد غادي يزلج فواحد الجبل لي فيه الثلج و هو لابس حقيبة
390,390,1398606571_f543f7698a.jpg,فتاة في دولاب تستمتع البحيرة,بنت في دولاب بتستمتع بالبحيرة,واحدة غادي تلعب فواحد البلاصة لي فيها الماء
391,391,1398613231_18de248606.jpg,رجل وفتاة يجلسان داخل أنبوب عائم في الماء,راجل و بنت قاعدين جوه انبوبة بتطفو في الماية,واحد و واحدة غادي يجلسو فواحد الأنبوب غادي يمشي فالمياه
392,392,1398873613_7e3174dd6c.jpg,رجل يبتسم ويمسك بحبل على متن قارب,راجل بيضحك و ماسك حبل على متن مركب,واحد غادي يضحك و هو غادي يمسك بواحد الحبل فوق القارب
393,393,1400424834_1c76e700c4.jpg,سيدة مرتدية السواد تنتظر على رصيف القطار,ست لابسة اسود مستنية على رصيف القطار,واحدة لابسة لباس أسود غادي تنتظر فواحد البلاصة ديال القطار
394,394,1401961581_76921a75c5.jpg,فتاة مربوطة بحبال البانجي,بنت مربوطه بحبال بانجي,واحدة غادي تكون مربوطه فواحد الحبل
395,395,1402640441_81978e32a9.jpg,فتى صغير يرتدي بدلة كرة قدم حمراء,ولاد صغير لابس بدلة كورة قدم حمرا,واحد صغير غادي يلبس لباس ديال كرة القدم حمراء
396,396,1402641725_5e027ecaa7.jpg,يلعب أربعة أطفال على تلة من الرمال,اربع اطفال بيلعبوا على تل من الرمال,أربعة ديال الصغار غادي يلعبوا فواحد التلة ديال الرمل
397,397,1402843760_d30f1dbf0f.jpg,كلب يتسلل عبر العشب,كلب بيتسلق في العشب,كلب غادي يمشي فالعشب
398,398,1402859872_0fc8cf8108.jpg,صبي يرفع كفه لتمثال,ولاد بيرفع ايده لتمثال,واحد صغير غادي يرفع إيده لواحد تمثال
399,399,1403414927_5f80281505.jpg,كلب أسود أمام كلب أبيض يسير على طريق في غابة,"كلب اسود قدام كلب ابيض ماشيين على طريق في غابة
"," كلب أسود قدام كلب أبيض غادي يمشيو فواحد الطريق فواحد الغابة 
"
400,400,140377584_12bdbdf2f8.jpg,رجل يتسلق الصخور,راجل بيطلع على الصخور,راجل كايتسلق فالصخور
401,401,140430106_2978fda105.jpg,كلب يجري على طول الشاطئ في يوم مشمس,كلب بيجري على طول الشاطئ في يوم مشمس,كلب كايجري فجنب البحر فنهار الشمس
402,402,1404832008_68e432665b.jpg,رجل في حزام,راجل لابس حزام,راجل لابس حزام
403,403,1405221276_21634dcd58.jpg,كلبان ينفضان الماء بينما يلعبان بكرة على حافة جسم من الماء,كلبين بيهربو الميه بينما بيلعبوا بكورة على حافة جسم من الميه,جوج كلاب كايتخبطو فالميا  و هما كايلعبو بلكورة فجنب الماء
404,404,140526326_da07305c1c.jpg,رجل يرتدي حزاماً وحبل على خصره يقف على قمة جبل يطل على الماء,راجل لابس حزام وحبل على خصره واقف على قمة جبل شايف البحر,راجل لابس حزام و حبل فخصرو كاوقف فوق جبل كايبان ليه البحر
405,405,140526327_3cb984de09.jpg,رجل يتسلق الصخور بالقرب من المحيط,راجل بيطلع على الصخور قريب من البحر,راجل كايتسلق فالصخور فجنب المحيط
